If the threading mode is Single-thread or Multi-thread this routine returns a NULL pointer,null,If the threading mode is Single-thread or Multi-thread then this routine returns a NULL pointer.,This interface returns a pointer the sqlite3_mutex object that serializes access to the database connection given in the argument when the threading mode is Serialized.If the threading mode is Single-thread or Multi-thread then this routine returns a NULL pointer.
the results are undefined,If sqlite3_step_APIName or sqlite3_reset_APIName or sqlite3_finalize_APIName are called from a different thread while any of these routines are pending,"If sqlite3_step_APIName or sqlite3_reset_APIName or sqlite3_finalize_APIName are called from a different thread while any of these routines are pending, then the results are undefined.","If the SQL statement does not currently point to a valid row, or if the column index is out of range, the result is undefined.These routines may only be called when the most recent call to sqlite3_step_APIName has returned SQLITE_ROW_API_constant and neither sqlite3_reset_APIName nor sqlite3_finalize_APIName have been called subsequently.If any of these routines are called after sqlite3_reset_APIName or sqlite3_finalize_APIName or after sqlite3_step_APIName has returned something other than SQLITE_ROW_API_constant, the results are undefined.If sqlite3_step_APIName or sqlite3_reset_APIName or sqlite3_finalize_APIName are called from a different thread while any of these routines are pending, then the results are undefined."
"The pointers returned are valid until a type conversion occurs as described above, or until sqlite3_step_APIName or sqlite3_reset_APIName or sqlite3_finalize_APIName is called",null,"The pointers returned are valid until a type conversion occurs as described above, or until sqlite3_step_APIName or sqlite3_reset_APIName or sqlite3_finalize_APIName is called.","The pointers returned are valid until a type conversion occurs as described above, or until sqlite3_step_APIName or sqlite3_reset_APIName or sqlite3_finalize_APIName is called.The memory space used to hold strings and BLOBs is freed automatically.Do not pass the pointers returned from sqlite3_column_blob_APIName, sqlite3_column_text_APIName, etc.into sqlite3_free_APIName."
The memory space used to hold strings and BLOBs is freed automatically,null,The memory space used to hold strings and BLOBs is freed automatically.,"The pointers returned are valid until a type conversion occurs as described above, or until sqlite3_step_APIName or sqlite3_reset_APIName or sqlite3_finalize_APIName is called.The memory space used to hold strings and BLOBs is freed automatically.Do not pass the pointers returned from sqlite3_column_blob_APIName, sqlite3_column_text_APIName, etc.into sqlite3_free_APIName."
"If an out-of-memory error occurs, the return value from these routines is the same as if the column had contained an SQL NULL value",null,"If an out-of-memory error occurs, then the return value from these routines is the same as if the column had contained an SQL NULL value.","If an out-of-memory error occurs, then the return value from these routines is the same as if the column had contained an SQL NULL value.Valid SQL NULL returns can be distinguished from out-of-memory errors by invoking the sqlite3_errcode_APIName immediately after the suspect return value is obtained and before any other SQLite interface is called on the same database connection."
the sqlite3_column_bytes_APIName or sqlite3_column_bytes16_APIName interfaces can be used to determine the size of that BLOB or string,If the result is a BLOB or a TEXT string,"If the result is a BLOB or a TEXT string, then the sqlite3_column_bytes_APIName or sqlite3_column_bytes16_APIName interfaces can be used to determine the size of that BLOB or string.","If the result is a BLOB or a TEXT string, then the sqlite3_column_bytes_APIName or sqlite3_column_bytes16_APIName interfaces can be used to determine the size of that BLOB or string."
Only the following subset of interfaces are subject to out-of-memory errors,null,Only the following subset of interfaces are subject to out-of-memory errors:,"As long as the input parameters are correct, these routines will only fail if an out-of-memory error occurs during a format conversion.Only the following subset of interfaces are subject to out-of-memory errors:"
"In the legacy interface, the return value will be either SQLITE_BUSY_API_constant, SQLITE_DONE_API_constant, SQLITE_ROW_API_constant, SQLITE_ERROR_API_constant, or SQLITE_MISUSE_API_constant",null,"In the legacy interface, the return value will be either SQLITE_BUSY_API_constant, SQLITE_DONE_API_constant, SQLITE_ROW_API_constant, SQLITE_ERROR_API_constant, or SQLITE_MISUSE_API_constant.","In the legacy interface, the return value will be either SQLITE_BUSY_API_constant, SQLITE_DONE_API_constant, SQLITE_ROW_API_constant, SQLITE_ERROR_API_constant, or SQLITE_MISUSE_API_constant.With the ""v2"" interface, any of the other result codes or extended result codes might be returned as well."
"With the ""v2"" interface, any of the other result codes or extended result codes might be returned as well",null,"With the ""v2"" interface, any of the other result codes or extended result codes might be returned as well.","In the legacy interface, the return value will be either SQLITE_BUSY_API_constant, SQLITE_DONE_API_constant, SQLITE_ROW_API_constant, SQLITE_ERROR_API_constant, or SQLITE_MISUSE_API_constant.With the ""v2"" interface, any of the other result codes or extended result codes might be returned as well."
"Do not mix calls to sqlite3_column_text_APIName or sqlite3_column_blob_APIName with calls to sqlite3_column_bytes16_APIName , and do not mix calls to sqlite3_column_text16_APIName with calls to sqlite3_column_bytes_APIName",null,"Do not mix calls to sqlite3_column_text_APIName or sqlite3_column_blob_APIName with calls to sqlite3_column_bytes16_APIName, and do not mix calls to sqlite3_column_text16_APIName with calls to sqlite3_column_bytes_APIName.","In other words, you should call sqlite3_column_text_APIName, sqlite3_column_blob_APIName, or sqlite3_column_text16_APIName first to force the result into the desired format, then invoke sqlite3_column_bytes_APIName or sqlite3_column_bytes16_APIName to find the size of the result.Do not mix calls to sqlite3_column_text_APIName or sqlite3_column_blob_APIName with calls to sqlite3_column_bytes16_APIName, and do not mix calls to sqlite3_column_text16_APIName with calls to sqlite3_column_bytes_APIName."
"Hence , the sqlite3_column_value_APIName interface is normally only useful within the implementation of application-defined SQL functions or virtual tables , not within top-level application code",null,"Hence, the sqlite3_column_value_APIName interface is normally only useful within the implementation of application-defined SQL functions or virtual tables, not within top-level application code.","Warning: The object returned by sqlite3_column_value_APIName is an unprotected sqlite3_value object.In a multithreaded environment, an unprotected sqlite3_value object may only be used safely with sqlite3_bind_value_APIName and sqlite3_result_value_APIName.If the unprotected sqlite3_value object returned by sqlite3_column_value_APIName is used in any other way, including calls to routines like sqlite3_value_int_APIName, sqlite3_value_text_APIName, or sqlite3_value_bytes_APIName, the behavior is not threadsafe.Hence, the sqlite3_column_value_APIName interface is normally only useful within the implementation of application-defined SQL functions or virtual tables, not within top-level application code."
